"rowid","ARU.ID","ARU.Name","Date","Hour","Minute","Second","Species","Confidence","File","Week","True.Positive"
16,67003,"UF2-1","20240604",8,4,0,"Acadian Flycatcher",0.987511873245239,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240604_080400.wav",23,NA
17,67006,"UF2-6","20240517",7,0,21,"Acadian Flycatcher",0.890198528766632,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240517_070000.wav",20,NA
18,67000,"UF3-9","20240531",7,4,0,"Acadian Flycatcher",0.770751297473907,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240531_070400.wav",22,NA
19,67007,"UF2-9","20240525",8,1,48,"Acadian Flycatcher",0.528828978538513,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240525_080100.wav",21,NA
20,67003,"UF2-1","20240523",8,0,42,"Acadian Flycatcher",0.985781908035278,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240523_080000.wav",21,NA
21,67003,"UF2-1","20240526",7,4,15,"Acadian Flycatcher",0.763706266880035,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240526_070400.wav",21,NA
22,67007,"UF2-9","20240529",7,3,18,"Acadian Flycatcher",0.441292345523834,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240529_070300.wav",22,NA
23,67000,"UF3-9","20240604",7,2,24,"Acadian Flycatcher",0.776284635066986,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240604_070200.wav",23,NA
24,67005,"UF2-4","20240526",7,2,39,"Acadian Flycatcher",0.780674815177917,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240526_070200.wav",21,NA
25,67003,"UF2-1","20240608",8,3,3,"Acadian Flycatcher",0.632315158843994,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240608_080300.wav",23,NA
26,67002,"UF3-4","20240529",6,1,9,"Acadian Flycatcher",0.346712499856949,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240529_060100.wav",22,NA
27,66998,"UF3-1","20240608",7,1,18,"Acadian Flycatcher",0.534550487995148,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240608_070100.wav",23,NA
28,67000,"UF3-9","20240528",8,3,42,"Acadian Flycatcher",0.456451535224915,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240528_080300.wav",22,NA
29,67006,"UF2-6","20240517",8,2,27,"Acadian Flycatcher",0.942481577396393,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240517_080200.wav",20,NA
30,67003,"UF2-1","20240611",7,2,45,"Acadian Flycatcher",0.616829633712769,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240611_070200.wav",24,NA
31,67003,"UF2-1","20240530",8,2,48,"Acadian Flycatcher",0.603432893753052,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240530_080200.wav",22,NA
32,67003,"UF2-1","20240531",8,3,27,"Acadian Flycatcher",0.562888443470001,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240531_080300.wav",22,NA
33,67005,"UF2-4","20240608",7,3,36,"Acadian Flycatcher",0.308991372585297,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240608_070300.wav",23,NA
34,67003,"UF2-1","20240517",6,4,54,"Acadian Flycatcher",0.913260996341705,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240517_060400.wav",20,NA
35,67003,"UF2-1","20240601",7,4,3,"Acadian Flycatcher",0.584680259227753,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_070400.wav",22,NA
36,67003,"UF2-1","20240527",7,3,39,"Acadian Flycatcher",0.483300060033798,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240527_070300.wav",22,NA
37,67007,"UF2-9","20240525",8,1,45,"Acadian Flycatcher",0.774896025657654,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240525_080100.wav",21,NA
38,67005,"UF2-4","20240607",7,2,15,"Acadian Flycatcher",0.479734361171722,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240607_070200.wav",23,NA
39,67005,"UF2-4","20240522",7,4,0,"Acadian Flycatcher",0.750441253185272,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240522_070400.wav",21,NA
40,67005,"UF2-4","20240601",6,4,12,"Acadian Flycatcher",0.792889297008514,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_060400.wav",22,NA
41,67007,"UF2-9","20240531",6,3,21,"Acadian Flycatcher",0.542803466320038,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240531_060300.wav",22,NA
42,67003,"UF2-1","20240522",8,4,21,"Acadian Flycatcher",0.932772815227509,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240522_080400.wav",21,NA
43,67000,"UF3-9","20240525",8,1,30,"Acadian Flycatcher",0.521960437297821,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240525_080100.wav",21,NA
44,67005,"UF2-4","20240524",8,0,57,"Acadian Flycatcher",0.704230785369873,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240524_080000.wav",21,NA
45,67000,"UF3-9","20240525",6,3,18,"Acadian Flycatcher",0.770712733268738,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240525_060300.wav",21,NA
46,67005,"UF2-4","20240524",6,4,30,"Acadian Flycatcher",0.594450294971466,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240524_060400.wav",21,NA
47,67003,"UF2-1","20240523",8,2,15,"Acadian Flycatcher",0.88093513250351,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240523_080200.wav",21,NA
48,67005,"UF2-4","20240519",7,1,0,"Acadian Flycatcher",0.630148231983185,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240519_070100.wav",20,NA
49,67003,"UF2-1","20240601",6,2,30,"Acadian Flycatcher",0.784215033054352,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_060200.wav",22,NA
50,67000,"UF3-9","20240525",6,3,0,"Acadian Flycatcher",0.683220028877258,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240525_060300.wav",21,NA
51,67003,"UF2-1","20240602",8,1,3,"Acadian Flycatcher",0.641671001911163,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240602_080100.wav",22,NA
52,67000,"UF3-9","20240604",7,0,45,"Acadian Flycatcher",0.696889281272888,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240604_070000.wav",23,NA
53,67003,"UF2-1","20240605",6,1,36,"Acadian Flycatcher",0.638421654701233,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240605_060100.wav",23,NA
54,67003,"UF2-1","20240528",6,2,27,"Acadian Flycatcher",0.972433388233185,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240528_060200.wav",22,NA
55,67005,"UF2-4","20240525",7,1,0,"Acadian Flycatcher",0.695313930511475,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240525_070100.wav",21,NA
56,66998,"UF3-1","20240601",8,2,15,"Acadian Flycatcher",0.86321896314621,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_080200.wav",22,NA
57,67005,"UF2-4","20240606",7,2,21,"Acadian Flycatcher",0.600811302661896,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240606_070200.wav",23,NA
58,67005,"UF2-4","20240524",6,0,45,"Acadian Flycatcher",0.612049758434296,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240524_060000.wav",21,NA
59,67006,"UF2-6","20240520",8,3,39,"Acadian Flycatcher",0.66624116897583,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240520_080300.wav",21,NA
60,67005,"UF2-4","20240601",7,2,6,"Acadian Flycatcher",0.677114248275757,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_070200.wav",22,NA
61,67003,"UF2-1","20240530",8,0,33,"Acadian Flycatcher",0.70854252576828,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240530_080000.wav",22,NA
62,67003,"UF2-1","20240606",7,2,48,"Acadian Flycatcher",0.971567034721375,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240606_070200.wav",23,NA
63,67005,"UF2-4","20240525",7,3,57,"Acadian Flycatcher",0.667196691036224,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240525_070300.wav",21,NA
64,67007,"UF2-9","20240604",7,0,33,"Acadian Flycatcher",0.927908062934875,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240604_070000.wav",23,NA
65,67003,"UF2-1","20240520",6,2,21,"Acadian Flycatcher",0.514411509037018,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240520_060200.wav",21,NA
66,66998,"UF3-1","20240530",6,4,45,"Acadian Flycatcher",0.877643227577209,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240530_060400.wav",22,NA
67,67005,"UF2-4","20240525",7,0,42,"Acadian Flycatcher",0.799803376197815,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240525_070000.wav",21,NA
68,67005,"UF2-4","20240603",8,0,3,"Acadian Flycatcher",0.715907752513885,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240603_080000.wav",23,NA
69,67005,"UF2-4","20240523",8,2,51,"Acadian Flycatcher",0.687866747379303,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240523_080200.wav",21,NA
70,67003,"UF2-1","20240611",6,0,9,"Acadian Flycatcher",0.987291157245636,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240611_060000.wav",24,NA
71,67003,"UF2-1","20240530",8,0,9,"Acadian Flycatcher",0.843343198299408,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240530_080000.wav",22,NA
72,67003,"UF2-1","20240608",7,4,15,"Acadian Flycatcher",0.805892527103424,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240608_070400.wav",23,NA
73,67000,"UF3-9","20240604",6,3,9,"Acadian Flycatcher",0.575659871101379,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240604_060300.wav",23,NA
74,67000,"UF3-9","20240530",8,0,48,"Acadian Flycatcher",0.783219337463379,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240530_080000.wav",22,NA
75,67003,"UF2-1","20240523",7,3,30,"Acadian Flycatcher",0.958633959293365,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240523_070300.wav",21,NA
76,67006,"UF2-6","20240517",7,4,24,"Acadian Flycatcher",0.915810465812683,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240517_070400.wav",20,NA
77,67005,"UF2-4","20240525",7,1,48,"Acadian Flycatcher",0.646174073219299,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240525_070100.wav",21,NA
78,67006,"UF2-6","20240531",7,1,51,"Acadian Flycatcher",0.681145548820496,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240531_070100.wav",22,NA
79,67006,"UF2-6","20240517",8,2,30,"Acadian Flycatcher",0.537137687206268,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240517_080200.wav",20,NA
80,67000,"UF3-9","20240607",7,4,45,"Acadian Flycatcher",0.607564806938171,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240607_070400.wav",23,NA
81,67006,"UF2-6","20240531",8,0,0,"Acadian Flycatcher",0.755213499069214,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240531_080000.wav",22,NA
82,67003,"UF2-1","20240520",6,3,0,"Acadian Flycatcher",0.777236342430115,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240520_060300.wav",21,NA
83,67005,"UF2-4","20240521",7,2,24,"Acadian Flycatcher",0.520499885082245,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240521_070200.wav",21,NA
84,67003,"UF2-1","20240525",7,1,48,"Acadian Flycatcher",0.851294279098511,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240525_070100.wav",21,NA
85,67005,"UF2-4","20240601",6,3,18,"Acadian Flycatcher",0.55551689863205,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_060300.wav",22,NA
86,66998,"UF3-1","20240601",6,2,45,"Acadian Flycatcher",0.32485219836235,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_060200.wav",22,NA
87,67005,"UF2-4","20240523",7,4,24,"Acadian Flycatcher",0.501973450183868,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240523_070400.wav",21,NA
88,67005,"UF2-4","20240519",7,3,42,"Acadian Flycatcher",0.78397810459137,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240519_070300.wav",20,NA
89,67003,"UF2-1","20240520",8,3,30,"Acadian Flycatcher",0.800790250301361,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240520_080300.wav",21,NA
90,67003,"UF2-1","20240609",8,4,48,"Acadian Flycatcher",0.916138529777527,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240609_080400.wav",23,NA
91,67006,"UF2-6","20240517",7,3,42,"Acadian Flycatcher",0.80693244934082,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240517_070300.wav",20,NA
92,67006,"UF2-6","20240517",8,2,54,"Acadian Flycatcher",0.545825123786926,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240517_080200.wav",20,NA
93,67000,"UF3-9","20240604",8,4,39,"Acadian Flycatcher",0.623405992984772,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240604_080400.wav",23,NA
94,67005,"UF2-4","20240602",8,4,30,"Acadian Flycatcher",0.551335513591766,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240602_080400.wav",22,NA
95,67003,"UF2-1","20240608",6,3,39,"Acadian Flycatcher",0.597420454025269,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240608_060300.wav",23,NA
96,67005,"UF2-4","20240522",8,1,36,"Acadian Flycatcher",0.98567271232605,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240522_080100.wav",21,NA
97,67007,"UF2-9","20240531",6,0,51,"Acadian Flycatcher",0.357374966144562,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240531_060000.wav",22,NA
98,67000,"UF3-9","20240604",8,4,48,"Acadian Flycatcher",0.85734760761261,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240604_080400.wav",23,NA
99,67006,"UF2-6","20240601",8,2,0,"Acadian Flycatcher",0.816723167896271,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_080200.wav",22,NA
100,67006,"UF2-6","20240531",7,1,45,"Acadian Flycatcher",0.707962512969971,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240531_070100.wav",22,NA
101,67004,"UF2-12","20240524",8,2,15,"American Crow",0.382087856531143,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240524_080200.wav",21,NA
102,67002,"UF3-4","20240528",7,2,30,"American Crow",0.527897536754608,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240528_070200.wav",22,NA
103,67006,"UF2-6","20240611",7,4,51,"American Crow",0.506393730640411,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240611_070400.wav",24,NA
104,67003,"UF2-1","20240601",8,3,42,"American Crow",0.425629079341888,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240601_080300.wav",22,NA
105,67002,"UF3-4","20240608",6,3,27,"American Crow",0.488521039485931,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240608_060300.wav",23,NA
106,67006,"UF2-6","20240605",8,4,21,"American Crow",0.368987321853638,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240605_080400.wav",23,NA
107,67005,"UF2-4","20240605",8,4,36,"American Crow",0.348888486623764,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240605_080400.wav",23,NA
108,67002,"UF3-4","20240608",6,2,6,"American Crow",0.543496966362,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240608_060200.wav",23,NA
109,67005,"UF2-4","20240605",7,2,27,"American Crow",0.38436371088028,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240605_070200.wav",23,NA
110,67007,"UF2-9","20240603",7,3,18,"American Crow",0.383193701505661,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240603_070300.wav",23,NA
111,67005,"UF2-4","20240605",7,2,18,"American Crow",0.521902084350586,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240605_070200.wav",23,NA
112,67006,"UF2-6","20240611",6,3,12,"American Crow",0.446712076663971,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240611_060300.wav",24,NA
113,67003,"UF2-1","20240606",8,2,3,"American Crow",0.421705961227417,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240606_080200.wav",23,NA
114,67007,"UF2-9","20240602",8,1,33,"American Crow",0.398633539676666,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240602_080100.wav",22,NA
115,67006,"UF2-6","20240601",6,0,21,"American Crow",0.691174626350403,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240601_060000.wav",22,NA
116,67002,"UF3-4","20240608",6,1,42,"American Crow",0.317971378564835,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240608_060100.wav",23,NA
117,66998,"UF3-1","20240523",6,3,24,"American Crow",0.712842524051666,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240523_060300.wav",21,NA
118,67005,"UF2-4","20240605",8,1,6,"American Crow",0.374015033245087,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240605_080100.wav",23,NA
119,67002,"UF3-4","20240522",6,1,39,"American Crow",0.326829642057419,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240522_060100.wav",21,NA
120,67003,"UF2-1","20240602",8,3,24,"American Crow",0.345801532268524,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240602_080300.wav",22,NA
121,67005,"UF2-4","20240608",8,2,18,"American Crow",0.358902007341385,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240608_080200.wav",23,NA
122,67002,"UF3-4","20240606",6,1,36,"American Crow",0.695014178752899,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240606_060100.wav",23,NA
123,67004,"UF2-12","20240601",7,2,9,"American Crow",0.7211874127388,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240601_070200.wav",22,NA
124,67001,"UF3-7","20240628",6,1,54,"American Crow",0.561364412307739,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240628_060100.wav",26,NA
125,67005,"UF2-4","20240608",8,4,18,"American Crow",0.445100784301758,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240608_080400.wav",23,NA
126,67006,"UF2-6","20240526",7,1,15,"American Crow",0.630243062973022,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240526_070100.wav",21,NA
127,67003,"UF2-1","20240601",8,1,27,"American Crow",0.30319544672966,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240601_080100.wav",22,NA
128,67006,"UF2-6","20240608",8,1,57,"American Crow",0.638121426105499,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240608_080100.wav",23,NA
129,67006,"UF2-6","20240608",8,2,15,"American Crow",0.853774011135101,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240608_080200.wav",23,NA
130,67003,"UF2-1","20240606",8,2,18,"American Crow",0.371359676122665,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240606_080200.wav",23,NA
131,67000,"UF3-9","20240520",6,2,9,"American Crow",0.372362643480301,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240520_060200.wav",21,NA
132,67002,"UF3-4","20240608",6,4,48,"American Crow",0.56429123878479,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240608_060400.wav",23,NA
133,67007,"UF2-9","20240603",7,3,51,"American Crow",0.312156468629837,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240603_070300.wav",23,NA
134,67002,"UF3-4","20240531",8,0,0,"American Crow",0.444774717092514,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240531_080000.wav",22,NA
135,67002,"UF3-4","20240608",6,1,6,"American Crow",0.428488969802856,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240608_060100.wav",23,NA
136,67007,"UF2-9","20240603",7,3,51,"American Crow",0.312156468629837,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240603_070300.wav",23,NA
137,67002,"UF3-4","20240522",6,2,12,"American Crow",0.329834192991257,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240522_060200.wav",21,NA
138,67005,"UF2-4","20240606",8,0,15,"American Crow",0.30055832862854,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240606_080000.wav",23,NA
139,67005,"UF2-4","20240605",7,2,6,"American Crow",0.419575482606888,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240605_070200.wav",23,NA
140,67003,"UF2-1","20240526",7,0,27,"American Crow",0.334938079118729,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240526_070000.wav",21,NA
141,67004,"UF2-12","20240524",8,1,18,"American Crow",0.816313147544861,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240524_080100.wav",21,NA
