"","rowid","ARU.ID","ARU.Name","Date","Hour","Minute","Second","Species","Confidence","File","Week","Weight","True.Positive","Real.ID"
"33",33,67005,"UF2-4",20240527,8,4,21,"Acadian Flycatcher",0.826754868030548,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240527_080400.wav",22,0.7,NA,NA
"34",34,67005,"UF2-4",20240606,7,3,21,"Acadian Flycatcher",0.724403917789459,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240606_070300.wav",23,0.7,NA,NA
"35",35,67003,"UF2-1",20240520,7,2,6,"Acadian Flycatcher",0.871655464172363,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240520_070200.wav",21,0.7,NA,NA
"36",36,67005,"UF2-4",20240520,8,1,21,"Acadian Flycatcher",0.203785464167595,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240520_080100.wav",21,0.1,NA,NA
"37",37,67003,"UF2-1",20240530,6,2,21,"Acadian Flycatcher",0.835556507110596,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240530_060200.wav",22,0.7,NA,NA
"38",38,67003,"UF2-1",20240527,8,2,30,"Acadian Flycatcher",0.368004471063614,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240527_080200.wav",22,0.2,NA,NA
"39",39,67003,"UF2-1",20240526,8,1,6,"Acadian Flycatcher",0.90203595161438,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240526_080100.wav",21,0.7,NA,NA
"40",40,67003,"UF2-1",20240608,7,3,33,"Acadian Flycatcher",0.878924071788788,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240608_070300.wav",23,0.7,NA,NA
"41",41,67003,"UF2-1",20240613,8,1,39,"Acadian Flycatcher",0.560676991939545,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240613_080100.wav",24,0.7,NA,NA
"42",42,67003,"UF2-1",20240601,6,2,15,"Acadian Flycatcher",0.949022889137268,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_060200.wav",22,0.7,NA,NA
"43",43,67006,"UF2-6",20240531,7,2,12,"Acadian Flycatcher",0.939138829708099,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240531_070200.wav",22,0.7,NA,NA
"44",44,67005,"UF2-4",20240517,8,2,45,"Acadian Flycatcher",0.25745615363121,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240517_080200.wav",20,0.2,NA,NA
"45",45,66998,"UF3-1",20240601,7,3,15,"Acadian Flycatcher",0.67261677980423,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_070300.wav",22,0.7,NA,NA
"46",46,67003,"UF2-1",20240529,6,1,12,"Acadian Flycatcher",0.284328788518906,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240529_060100.wav",22,0.2,NA,NA
"47",47,67003,"UF2-1",20240526,6,0,42,"Acadian Flycatcher",0.887567281723022,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240526_060000.wav",21,0.7,NA,NA
"48",48,67003,"UF2-1",20240601,7,1,0,"Acadian Flycatcher",0.902195572853088,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_070100.wav",22,0.7,NA,NA
"49",49,67006,"UF2-6",20240517,7,1,54,"Acadian Flycatcher",0.64287143945694,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240517_070100.wav",20,0.7,NA,NA
"50",50,67005,"UF2-4",20240528,8,4,27,"Acadian Flycatcher",0.642271041870117,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240528_080400.wav",22,0.7,NA,NA
"51",51,67003,"UF2-1",20240523,7,2,12,"Acadian Flycatcher",0.959470987319946,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240523_070200.wav",21,0.7,NA,NA
"52",52,67003,"UF2-1",20240523,6,1,6,"Acadian Flycatcher",0.941352128982544,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240523_060100.wav",21,0.7,NA,NA
"53",53,67005,"UF2-4",20240527,8,3,48,"Acadian Flycatcher",0.817138016223907,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240527_080300.wav",22,0.7,NA,NA
"54",54,67003,"UF2-1",20240528,7,2,12,"Acadian Flycatcher",0.83065938949585,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240528_070200.wav",22,0.7,NA,NA
"55",55,67003,"UF2-1",20240606,7,2,3,"Acadian Flycatcher",0.964163601398468,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240606_070200.wav",23,0.7,NA,NA
"56",56,67003,"UF2-1",20240611,7,1,12,"Acadian Flycatcher",0.82035231590271,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240611_070100.wav",24,0.7,NA,NA
"57",57,66998,"UF3-1",20240530,6,4,45,"Acadian Flycatcher",0.877643227577209,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240530_060400.wav",22,0.7,NA,NA
"58",58,67005,"UF2-4",20240603,6,2,39,"Acadian Flycatcher",0.723199188709259,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240603_060200.wav",23,0.7,NA,NA
"59",59,67005,"UF2-4",20240528,7,4,57,"Acadian Flycatcher",0.877893447875977,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240528_070400.wav",22,0.7,NA,NA
"60",60,67005,"UF2-4",20240526,8,0,57,"Acadian Flycatcher",0.554059982299805,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240526_080000.wav",21,0.7,NA,NA
"61",61,67003,"UF2-1",20240612,8,4,12,"Acadian Flycatcher",0.88196074962616,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240612_080400.wav",24,0.7,NA,NA
"62",62,67003,"UF2-1",20240529,8,4,33,"Acadian Flycatcher",0.976691067218781,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240529_080400.wav",22,0.7,NA,NA
"63",63,67007,"UF2-9",20240609,7,1,48,"Acadian Flycatcher",0.336474865674973,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240609_070100.wav",23,0.2,NA,NA
"64",64,67000,"UF3-9",20240531,7,3,48,"Acadian Flycatcher",0.73786860704422,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240531_070300.wav",22,0.7,NA,NA
"65",65,67002,"UF3-4",20240520,7,3,36,"Acadian Flycatcher",0.261067420244217,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240520_070300.wav",21,0.2,NA,NA
"66",66,67003,"UF2-1",20240526,6,0,51,"Acadian Flycatcher",0.934749245643616,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240526_060000.wav",21,0.7,NA,NA
"67",67,67004,"UF2-12",20240526,7,1,9,"Acadian Flycatcher",0.515492081642151,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240526_070100.wav",21,0.7,NA,NA
"68",68,67003,"UF2-1",20240521,8,0,27,"Acadian Flycatcher",0.954457759857178,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240521_080000.wav",21,0.7,NA,NA
"69",69,67005,"UF2-4",20240601,7,4,48,"Acadian Flycatcher",0.886010944843292,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_070400.wav",22,0.7,NA,NA
"70",70,67000,"UF3-9",20240531,6,2,15,"Acadian Flycatcher",0.267984718084335,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240531_060200.wav",22,0.2,NA,NA
"71",71,67006,"UF2-6",20240517,7,1,36,"Acadian Flycatcher",0.674625337123871,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240517_070100.wav",20,0.7,NA,NA
"72",72,67005,"UF2-4",20240525,7,3,57,"Acadian Flycatcher",0.667196691036224,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240525_070300.wav",21,0.7,NA,NA
"73",73,67007,"UF2-9",20240607,8,2,39,"Acadian Flycatcher",0.84743344783783,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240607_080200.wav",23,0.7,NA,NA
"74",74,66998,"UF3-1",20240606,8,3,6,"Acadian Flycatcher",0.321647316217422,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240606_080300.wav",23,0.2,NA,NA
"75",75,67003,"UF2-1",20240605,6,2,15,"Acadian Flycatcher",0.574748694896698,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240605_060200.wav",23,0.7,NA,NA
"76",76,67003,"UF2-1",20240525,6,3,45,"Acadian Flycatcher",0.940070390701294,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240525_060300.wav",21,0.7,NA,NA
"77",77,67005,"UF2-4",20240522,6,2,0,"Acadian Flycatcher",0.674833178520203,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240522_060200.wav",21,0.7,NA,NA
"78",78,67005,"UF2-4",20240601,7,0,3,"Acadian Flycatcher",0.588563859462738,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_070000.wav",22,0.7,NA,NA
"79",79,67003,"UF2-1",20240519,8,0,18,"Acadian Flycatcher",0.94823431968689,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240519_080000.wav",20,0.7,NA,NA
"80",80,67006,"UF2-6",20240601,6,0,33,"Acadian Flycatcher",0.428764522075653,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_060000.wav",22,0.2,NA,NA
"81",81,67007,"UF2-9",20240607,8,3,15,"Acadian Flycatcher",0.527399778366089,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240607_080300.wav",23,0.7,NA,NA
"82",82,67006,"UF2-6",20240520,8,3,39,"Acadian Flycatcher",0.66624116897583,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240520_080300.wav",21,0.7,NA,NA
"83",83,67003,"UF2-1",20240528,8,1,21,"Acadian Flycatcher",0.888417899608612,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240528_080100.wav",22,0.7,NA,NA
"84",84,67000,"UF3-9",20240604,7,3,42,"Acadian Flycatcher",0.595377922058105,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240604_070300.wav",23,0.7,NA,NA
"85",85,67002,"UF3-4",20240520,7,2,42,"Acadian Flycatcher",0.238145589828491,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240520_070200.wav",21,0.1,NA,NA
"86",86,67007,"UF2-9",20240531,6,3,39,"Acadian Flycatcher",0.365095496177673,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240531_060300.wav",22,0.2,NA,NA
"87",87,67005,"UF2-4",20240602,8,4,30,"Acadian Flycatcher",0.551335513591766,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240602_080400.wav",22,0.7,NA,NA
"88",88,67003,"UF2-1",20240528,6,4,3,"Acadian Flycatcher",0.620759844779968,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240528_060400.wav",22,0.7,NA,NA
"89",89,67000,"UF3-9",20240607,7,4,33,"Acadian Flycatcher",0.309526771306992,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240607_070400.wav",23,0.2,NA,NA
"90",90,67006,"UF2-6",20240517,7,4,9,"Acadian Flycatcher",0.349299848079681,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240517_070400.wav",20,0.2,NA,NA
"91",91,67000,"UF3-9",20240603,6,1,27,"Acadian Flycatcher",0.54949814081192,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240603_060100.wav",23,0.7,NA,NA
"92",92,67005,"UF2-4",20240612,7,4,24,"Acadian Flycatcher",0.292846232652664,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240612_070400.wav",24,0.2,NA,NA
"93",93,67003,"UF2-1",20240525,7,3,12,"Acadian Flycatcher",0.959168434143066,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240525_070300.wav",21,0.7,NA,NA
"94",94,67003,"UF2-1",20240529,8,3,21,"Acadian Flycatcher",0.623240649700165,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240529_080300.wav",22,0.7,NA,NA
"95",95,67007,"UF2-9",20240526,7,2,9,"Acadian Flycatcher",0.376674652099609,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240526_070200.wav",21,0.2,NA,NA
"96",96,67003,"UF2-1",20240523,6,3,15,"Acadian Flycatcher",0.976853132247925,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240523_060300.wav",21,0.7,NA,NA
"97",97,67003,"UF2-1",20240521,8,0,51,"Acadian Flycatcher",0.873852670192719,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240521_080000.wav",21,0.7,NA,NA
"98",98,67006,"UF2-6",20240531,7,1,33,"Acadian Flycatcher",0.893145561218262,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240531_070100.wav",22,0.7,NA,NA
"99",99,67003,"UF2-1",20240604,7,2,21,"Acadian Flycatcher",0.807637929916382,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240604_070200.wav",23,0.7,NA,NA
"100",100,67000,"UF3-9",20240610,7,1,24,"Acadian Flycatcher",0.313099443912506,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240610_070100.wav",24,0.2,NA,NA
"101",101,67005,"UF2-4",20240526,7,1,9,"American Crow",0.250232756137848,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240526_070100.wav",21,0.2,NA,NA
"102",102,67003,"UF2-1",20240606,8,0,27,"American Crow",0.201194226741791,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240606_080000.wav",23,0.1,NA,NA
"103",103,67006,"UF2-6",20240524,8,1,33,"American Crow",0.201783403754234,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240524_080100.wav",21,0.1,NA,NA
"104",104,67001,"UF3-7",20240628,6,0,42,"American Crow",0.393319189548492,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240628_060000.wav",26,0.2,NA,NA
"105",105,67002,"UF3-4",20240528,7,2,30,"American Crow",0.527897536754608,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240528_070200.wav",22,0.7,NA,NA
"106",106,67005,"UF2-4",20240605,8,4,36,"American Crow",0.348888486623764,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240605_080400.wav",23,0.2,NA,NA
"107",107,67002,"UF3-4",20240608,6,4,42,"American Crow",0.507722795009613,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240608_060400.wav",23,0.7,NA,NA
"108",108,67005,"UF2-4",20240605,7,1,33,"American Crow",0.34814926981926,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240605_070100.wav",23,0.2,NA,NA
"109",109,67004,"UF2-12",20240524,8,1,6,"American Crow",0.474475979804993,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240524_080100.wav",21,0.2,NA,NA
"110",110,67004,"UF2-12",20240531,7,0,33,"American Crow",0.204611331224442,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240531_070000.wav",22,0.1,NA,NA
"111",111,67004,"UF2-12",20240608,8,2,21,"American Crow",0.367243766784668,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240608_080200.wav",23,0.2,NA,NA
"112",112,67005,"UF2-4",20240607,7,0,24,"American Crow",0.206587508320808,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240607_070000.wav",23,0.1,NA,NA
"113",113,67004,"UF2-12",20240524,8,1,18,"American Crow",0.816313147544861,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240524_080100.wav",21,0.7,NA,NA
"114",114,67004,"UF2-12",20240524,8,1,45,"American Crow",0.462199687957764,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240524_080100.wav",21,0.2,NA,NA
"115",115,67002,"UF3-4",20240608,6,0,45,"American Crow",0.349799036979675,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240608_060000.wav",23,0.2,NA,NA
"116",116,67002,"UF3-4",20240608,6,4,24,"American Crow",0.510711371898651,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240608_060400.wav",23,0.7,NA,NA
"117",117,67006,"UF2-6",20240525,7,2,3,"American Crow",0.373854696750641,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240525_070200.wav",21,0.2,NA,NA
"118",118,67006,"UF2-6",20240526,7,1,12,"American Crow",0.771831750869751,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240526_070100.wav",21,0.7,NA,NA
"119",119,67005,"UF2-4",20240605,8,4,51,"American Crow",0.389288127422333,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240605_080400.wav",23,0.2,NA,NA
"120",120,67002,"UF3-4",20240608,6,0,6,"American Crow",0.254200667142868,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240608_060000.wav",23,0.2,NA,NA
"121",121,66999,"UF3-2",20240520,6,0,45,"American Crow",0.349905997514725,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240520_060000.wav",21,0.2,NA,NA
"122",122,67006,"UF2-6",20240525,7,2,9,"American Crow",0.293524146080017,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240525_070200.wav",21,0.2,NA,NA
"123",123,67006,"UF2-6",20240611,6,3,33,"American Crow",0.38227242231369,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240611_060300.wav",24,0.2,NA,NA
"124",124,67006,"UF2-6",20240525,7,0,27,"American Crow",0.46668154001236,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240525_070000.wav",21,0.2,NA,NA
"125",125,67003,"UF2-1",20240526,7,0,18,"American Crow",0.220269471406937,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240526_070000.wav",21,0.1,NA,NA
"126",126,67002,"UF3-4",20240608,6,2,45,"American Crow",0.421264678239822,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\American_Crow\20240608_060200.wav",23,0.2,NA,NA
